Waste Type,Year,Month,Volume
1,2020,7,17965.0
1,2020,8,17439.0
1,2020,9,16997.0
1,2020,10,17313.0
1,2020,11,16060.0
1,2020,12,16411.0
1,2020,1,15511.0
1,2020,2,13229.0
1,2020,3,16265.0
1,2020,4,17399.0
1,2020,5,18641.0
1,2020,6,18034.0
1,2021,7,18352.0
1,2021,8,17813.0
1,2021,9,18238.0
1,2021,10,17471.0
1,2021,11,17442.0
1,2021,12,18119.0
1,2021,1,14894.0
1,2021,2,13498.0
1,2021,3,18328.0
1,2021,4,18257.0
1,2021,5,17158.0
1,2021,6,17759.0
1,2022,7,18530.0
1,2022,8,19432.0
1,2022,9,19734.0
1,2022,10,17415.0
1,2022,11,18610.0
1,2022,12,17309.0
1,2022,1,14872.0
1,2022,2,14203.0
1,2022,3,16581.0
1,2022,4,15556.0
1,2022,5,16411.0
1,2022,6,15457.0
1,2023,7,16195.0
1,2023,8,19331.0
1,2023,9,18531.0
1,2023,10,16913.0
1,2023,11,17806.0
1,2023,12,16542.0
1,2023,1,10780.0
1,2023,2,13350.0
1,2023,3,15756.0
1,2023,4,14876.0
1,2023,5,16008.0
1,2023,6,16000.0
1,2024,7,16195.0
1,2024,8,19331.0
1,2024,9,18531.0
1,2024,10,16913.0
1,2024,11,17806.0
1,2024,12,16542.0
1,2024,1,10780.0
1,2024,2,13350.0
1,2024,3,15756.0
1,2024,4,14876.0
1,2024,5,16008.0
2,2020,7,3247.0
2,2020,8,2921.0
2,2020,9,3127.0
2,2020,10,3186.0
2,2020,11,2960.0
2,2020,12,3425.0
2,2020,1,3258.0
2,2020,2,2660.0
2,2020,3,3304.0
2,2020,4,3501.0
2,2020,5,3478.0
2,2020,6,3642.0
2,2021,7,3502.0
2,2021,8,3241.0
2,2021,9,3638.0
2,2021,10,3559.0
2,2021,11,3458.0
2,2021,12,3839.0
2,2021,1,3280.0
2,2021,2,2895.0
2,2021,3,3406.0
2,2021,4,3340.0
2,2021,5,3077.0
2,2021,6,3116.0
2,2022,7,3175.0
2,2022,8,3207.0
2,2022,9,3527.0
2,2022,10,3062.0
2,2022,11,3242.0
2,2022,12,3113.0
2,2022,1,2910.0
2,2022,2,6281.0
2,2022,3,2600.0
2,2022,4,2713.0
2,2022,5,2754.0
2,2022,6,3120.0
2,2023,7,2619.0
2,2023,8,2969.0
2,2023,9,3195.0
2,2023,10,2802.0
2,2023,11,2960.0
2,2023,12,3039.0
2,2023,1,2920.0
2,2023,2,2357.0
2,2023,3,2805.0
2,2023,4,2409.0
2,2023,5,2839.0
2,2023,6,2810.0
2,2024,7,2663.81
2,2024,8,3020.07
2,2024,9,3011.7
2,2024,10,2853.25
2,2024,11,3222.0
2,2024,12,3064.83
2,2024,1,3017.17
2,2024,2,2518.33
2,2024,3,2592.42
2,2024,4,2851.5
2,2024,5,2976.77
3,2023,7,0.0
3,2023,8,75.77
3,2023,9,106.64
3,2023,10,97.82
3,2023,11,119.28
3,2023,12,110.93
3,2023,1,105.13
3,2023,2,89.46
3,2023,3,103.81
3,2023,4,80.66
3,2023,5,106.85
3,2023,6,113.85
3,2024,7,137.31
3,2024,8,175.98
3,2024,9,172.93
3,2024,10,179.82
3,2024,11,215.66
3,2024,12,184.25
3,2024,1,219.83
3,2024,2,172.75
3,2024,3,170.06
3,2024,4,172.36
3,2024,5,181.84
